lib,dtype,cfg,swizzle,raster,flush,nw,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cublaslt,bf16,,,,0,8,901,4096,4096,280.93,286.56,263.20,107.6,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,0,8,901,4096,4096,139.22,140.72,135.84,217.2,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,0,8,901,4096,4096,143.23,145.76,138.24,211.1,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,0,8,901,4096,4096,179.20,183.83,171.81,168.7,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,0,8,901,4096,4096,131.98,138.47,98.02,229.1,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,0,8,901,4096,4096,153.38,154.62,151.17,197.1,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,0,8,901,4096,4096,141.47,156.67,140.93,213.7,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,0,8,901,4096,4096,198.62,200.40,198.37,152.2,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,0,8,901,4096,4096,244.70,246.85,242.88,123.5,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,0,8,901,4096,4096,110.40,110.10,108.26,273.8,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,0,8,901,4096,4096,137.23,138.06,136.10,220.3,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,0,8,901,4096,4096,157.62,158.84,155.42,191.8,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
