lib,dtype,cfg,swizzle,raster,flush,nw,warmup_ms,dist,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cublaslt,bf16,,,,0,8,1500,,901,4096,4096,266.19,269.13,257.06,113.6,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,0,8,1500,,901,4096,4096,131.01,136.51,128.90,230.8,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,0,8,1500,,901,4096,4096,140.64,142.05,135.14,215.0,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,0,8,1500,,901,4096,4096,174.91,175.36,171.78,172.8,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,1,H,0,8,1500,normal,901,4096,4096,114.53,136.60,108.22,264.0,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,1,H,0,8,1500,normal,901,4096,4096,110.34,111.18,108.29,274.0,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cublaslt,bf16,,,,0,8,1500,,1517,4096,4096,386.64,399.93,378.82,131.7,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,0,8,1500,,1517,4096,4096,204.13,223.05,187.23,249.4,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,0,8,1500,,1517,4096,4096,183.12,188.06,178.14,278.0,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,0,8,1500,,1517,4096,4096,311.15,316.46,305.12,163.6,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,1,H,0,8,1500,normal,1517,4096,4096,249.73,226.20,154.98,203.8,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,1,H,0,8,1500,normal,1517,4096,4096,157.57,160.28,155.33,323.0,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cublaslt,bf16,,,,0,8,1500,,1802,4096,4096,442.35,464.25,348.13,136.7,1386,1386,PASS,1.66e-03,66,,
