lib,dtype,cfg,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cublaslt,bf16,,4096,4096,4096,959.58,959.46,934.88,143.2,1386,1386,PASS,1.66e-03,heuristic0,,
cublaslt,fp8,,4096,4096,4096,507.89,511.64,501.70,270.6,1386,1386,PASS,1.65e-03,heuristic0,,
cublaslt,int8,,4096,4096,4096,521.70,530.95,512.99,263.4,1386,1386,PASS,0.00e+00,heuristic0,,
cublaslt,int8+rescale,,4096,4096,4096,921.65,935.86,909.25,149.1,1386,1386,PASS,1.65e-03,heuristic0,,
cutlass,fp8,3,4096,4096,4096,481.28,484.63,474.02,285.6,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,9,4096,4096,4096,521.25,526.42,516.03,263.7,1386,1386,PASS,1.65e-03,,"2SM 256x256x128 cluster2x2x1 (A multicast, 4 CTAs)",
cutlass,fp8,10,4096,4096,4096,517.14,525.42,513.02,265.8,1386,1386,PASS,1.65e-03,,"2SM 256x256x128 cluster4x1x1 (B multicast, 4 CTAs)",
cutlass,fp8,11,4096,4096,4096,837.15,843.66,835.58,164.2,1386,1386,PASS,1.65e-03,,"2SM 256x256x128 cluster4x2x1 (A+B multicast, 8 CTAs)",
cutlass,fp8,12,4096,4096,4096,481.87,487.49,475.14,285.2,1386,1386,PASS,1.65e-03,,2SM 256x256x256 cluster2x1x1 (TileK=256),
cutlass,fp8,13,4096,4096,4096,555.52,566.32,548.77,247.4,1386,1386,PASS,1.65e-03,,"1SM 128x256x128 cluster2x2x1 (A+B multicast, 4 CTAs)",
cutlass,int8,3,4096,4096,4096,480.80,483.42,476.13,285.9,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,9,4096,4096,4096,520.19,527.01,516.19,264.2,1386,1386,PASS,1.66e-03,,"2SM 256x256x128 cluster2x2x1 (A multicast, 4 CTAs)",
cutlass,int8,10,4096,4096,4096,519.62,528.17,515.10,264.5,1386,1386,PASS,1.66e-03,,"2SM 256x256x128 cluster4x1x1 (B multicast, 4 CTAs)",
cutlass,int8,11,4096,4096,4096,830.43,835.44,826.21,165.5,1386,1386,PASS,1.66e-03,,"2SM 256x256x128 cluster4x2x1 (A+B multicast, 8 CTAs)",
cutlass,int8,12,4096,4096,4096,486.67,490.41,480.32,282.4,1386,1386,PASS,1.66e-03,,2SM 256x256x256 cluster2x1x1 (TileK=256),
cutlass,int8,13,4096,4096,4096,561.66,571.13,556.03,244.7,1386,1386,PASS,1.66e-03,,"1SM 128x256x128 cluster2x2x1 (A+B multicast, 4 CTAs)",
