lib,dtype,cfg,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cutlass,fp8,0,4096,4096,4096,800.74,802.20,795.65,171.6,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,1,4096,4096,4096,701.44,704.42,696.22,195.9,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,2,4096,4096,4096,638.98,640.59,628.90,215.1,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,3,4096,4096,4096,520.21,522.60,510.05,264.2,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,4,4096,4096,4096,632.26,635.92,626.59,217.4,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x2x1 (A multicast),
cutlass,fp8,5,4096,4096,4096,568.32,576.04,563.14,241.8,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x2x1 (example-70 style),
cutlass,fp8,6,4096,4096,4096,827.33,831.23,819.26,166.1,1386,1386,PASS,1.65e-03,,1SM 128x128x64 cluster1x1x1 (K=64 atom),
cutlass,fp8,7,4096,4096,4096,1259.46,1260.80,1255.46,109.1,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,fp8,8,4096,4096,4096,633.79,636.48,629.79,216.9,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster2x1x1 (B multicast),
cutlass,int8,0,4096,4096,4096,878.58,879.73,873.44,156.4,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,1,4096,4096,4096,654.98,657.50,651.26,209.8,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,2,4096,4096,4096,695.28,696.51,688.19,197.7,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,3,4096,4096,4096,479.20,480.20,474.08,286.8,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,4,4096,4096,4096,695.86,697.68,691.20,197.5,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x2x1 (A multicast),
cutlass,int8,5,4096,4096,4096,549.89,557.32,546.82,249.9,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x2x1 (example-70 style),
cutlass,int8,6,4096,4096,4096,925.79,927.82,919.58,148.5,1386,1386,PASS,1.66e-03,,1SM 128x128x64 cluster1x1x1 (K=64 atom),
cutlass,int8,7,4096,4096,4096,1120.26,1123.15,1117.12,122.7,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,8,4096,4096,4096,699.52,701.95,693.25,196.5,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster2x1x1 (B multicast),
